gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
1830953734,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Sirenidae,Siren,Siren lacertina,,SPECIES,Siren lacertina Ã–sterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953728,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra atra,,SPECIES,Salamandra atra Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953700,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra atra,,SPECIES,Salamandra atra Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953699,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra salamandra,,SPECIES,Salamandra salamandra (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953694,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra salamandra,,SPECIES,Salamandra salamandra (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953673,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra salamandra,,SPECIES,Salamandra salamandra (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953663,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Sirenidae,Siren,Siren lacertina,,SPECIES,Siren lacertina Ã–sterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953607,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandrina,Salamandrina terdigitata,,SPECIES,Salamandrina terdigitata (Bonnaterre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953571,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandrina,Salamandrina terdigitata,,SPECIES,Salamandrina terdigitata (Bonnaterre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953560,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra salamandra,,SPECIES,Salamandra salamandra (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953544,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra salamandra,,SPECIES,Salamandra salamandra (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953488,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra atra,,SPECIES,Salamandra atra Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
