Binomial,NumberSpecimens,NumberOverlaps,PercentOverlaps
Vanellus indicus,3,3,100
Porphyrio porphyrio,4,2,50
NA,NA,NA,NA
Malacoptila panamensis,10,2,20
Jacamerops aureus,3,1,33.33333333333333
Falco rusticolus,4,4,100
Phaethornis yaruqui,4,0,0
Apus affinis,4,2,50
Thalurania furcata,5,5,100
Heliomaster constantii,4,1,25
NA,NA,NA,NA
Chloroceryle americana,7,7,100
NA,NA,NA,NA
Nyctidromus albicollis,20,16,80
Pionites melanocephalus,3,2,66.66666666666666
Amazona ochrocephala,4,0,0
Loriculus philippensis,7,7,100
Loriculus galgulus,3,2,66.66666666666666
Cyanoramphus auriceps,3,1,33.33333333333333
Aechmophorus occidentalis,5,5,100
Centrocercus urophasianus,4,4,100
NA,NA,NA,NA
Petrochelidon fulva,37,35,94.5945945945946
Coragyps atratus,6,5,83.33333333333334
Tangara cyanoptera,40,0,0
NA,NA,NA,NA
Diglossa albilatera,15,15,100
Trochilus polytmus,4,2,50
Tangara chilensis,3,1,33.33333333333333
NA,NA,NA,NA
Anthreptes malacensis,8,5,62.5
Pyrrhocorax graculus,8,7,87.5
Montifringilla nivalis,8,7,87.5
Pycnonotus plumosus,3,0,0
Anas gracilis,16,16,100
Myzomela obscura,3,0,0
Lalage sueurii,17,0,0
Circus approximans,13,8,61.53846153846154
Chordeiles acutipennis,4,3,75
Galbula ruficauda,5,5,100
Setophaga auduboni,100,100,100
NA,NA,NA,NA
Prunella collaris,7,6,85.71428571428571
Emberiza calandra,7,7,100
Anthus petrosus,5,4,80
Prinia subflava,5,5,100
